"","home_pm","h1","h2","h3","h4","h5","a1","a2","a3","a4","a5"
"73",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Anderson Varejao","LeBron James","Chris Bosh","Goran Dragic","Luol Deng","Dwyane Wade","Hassan Whiteside"
"74",-3,"Matthew Dellavedova","Tristan Thompson","Anderson Varejao","LeBron James","J.R. Smith","Chris Bosh","Goran Dragic","Luol Deng","Dwyane Wade","Hassan Whiteside"
"75",0,"Matthew Dellavedova","Anderson Varejao","LeBron James","J.R. Smith","Kevin Love","Chris Bosh","Goran Dragic","Luol Deng","Dwyane Wade","Hassan Whiteside"
"76",0,"Anderson Varejao","LeBron James","J.R. Smith","Kevin Love","Mo Williams","Chris Bosh","Goran Dragic","Luol Deng","Dwyane Wade","Hassan Whiteside"
"77",-1,"LeBron James","J.R. Smith","Kevin Love","Mo Williams","Timofey Mozgov","Chris Bosh","Goran Dragic","Luol Deng","Dwyane Wade","Hassan Whiteside"
"78",0,"LeBron James","J.R. Smith","Kevin Love","Mo Williams","Timofey Mozgov","Chris Bosh","Goran Dragic","Dwyane Wade","Hassan Whiteside","Justise Winslow"
"79",-3,"J.R. Smith","Kevin Love","Mo Williams","Timofey Mozgov","Richard Jefferson","Chris Bosh","Goran Dragic","Dwyane Wade","Hassan Whiteside","Justise Winslow"
"80",1,"Kevin Love","Mo Williams","Timofey Mozgov","Richard Jefferson","Matthew Dellavedova","Chris Bosh","Goran Dragic","Dwyane Wade","Hassan Whiteside","Justise Winslow"
"81",0,"LeBron James","Kevin Love","Timofey Mozgov","J.R. Smith","Mo Williams","Luol Deng","Chris Bosh","Hassan Whiteside","Goran Dragic","Dwyane Wade"
"82",0,"LeBron James","Kevin Love","Timofey Mozgov","Mo Williams","Matthew Dellavedova","Luol Deng","Chris Bosh","Hassan Whiteside","Goran Dragic","Dwyane Wade"
"83",-2,"LeBron James","Kevin Love","Mo Williams","Matthew Dellavedova","Tristan Thompson","Luol Deng","Chris Bosh","Hassan Whiteside","Goran Dragic","Dwyane Wade"
"84",3,"LeBron James","Kevin Love","Mo Williams","Matthew Dellavedova","Tristan Thompson","Luol Deng","Chris Bosh","Hassan Whiteside","Goran Dragic","Gerald Green"
"85",0,"LeBron James","Kevin Love","Mo Williams","Matthew Dellavedova","Tristan Thompson","Luol Deng","Chris Bosh","Hassan Whiteside","Gerald Green","Mario Chalmers"
"86",0,"LeBron James","Kevin Love","Mo Williams","Matthew Dellavedova","Tristan Thompson","Luol Deng","Hassan Whiteside","Gerald Green","Mario Chalmers","Josh McRoberts"
"87",1,"LeBron James","Mo Williams","Matthew Dellavedova","Tristan Thompson","Anderson Varejao","Luol Deng","Hassan Whiteside","Gerald Green","Mario Chalmers","Josh McRoberts"
"88",1,"Mo Williams","Matthew Dellavedova","Tristan Thompson","Anderson Varejao","Richard Jefferson","Luol Deng","Hassan Whiteside","Gerald Green","Mario Chalmers","Josh McRoberts"
"89",0,"Mo Williams","Matthew Dellavedova","Tristan Thompson","Anderson Varejao","Richard Jefferson","Luol Deng","Gerald Green","Mario Chalmers","Josh McRoberts","Amar'e Stoudemire"
"90",0,"Mo Williams","Matthew Dellavedova","Tristan Thompson","Anderson Varejao","Richard Jefferson","Gerald Green","Mario Chalmers","Josh McRoberts","Amar'e Stoudemire","Justise Winslow"
"91",1,"Matthew Dellavedova","Tristan Thompson","Anderson Varejao","Richard Jefferson","Jared Cunningham","Gerald Green","Mario Chalmers","Josh McRoberts","Amar'e Stoudemire","Justise Winslow"
"92",4,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Jared Cunningham","Anderson Varejao","Justise Winslow","Mario Chalmers","Gerald Green","Josh McRoberts","Amar'e Stoudemire"
"93",2,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Jared Cunningham","Anderson Varejao","Justise Winslow","Mario Chalmers","Josh McRoberts","Amar'e Stoudemire","Dwyane Wade"
"94",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Jared Cunningham","Anderson Varejao","Justise Winslow","Mario Chalmers","Amar'e Stoudemire","Dwyane Wade","Chris Bosh"
"95",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Jared Cunningham","Anderson Varejao","Justise Winslow","Mario Chalmers","Dwyane Wade","Chris Bosh","Hassan Whiteside"
"96",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Anderson Varejao","Kevin Love","Justise Winslow","Mario Chalmers","Dwyane Wade","Chris Bosh","Hassan Whiteside"
"97",0,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Kevin Love","LeBron James","Justise Winslow","Mario Chalmers","Dwyane Wade","Chris Bosh","Hassan Whiteside"
"98",2,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Kevin Love","LeBron James","Justise Winslow","Dwyane Wade","Chris Bosh","Hassan Whiteside","Goran Dragic"
"99",1,"Matthew Dellavedova","Richard Jefferson","Tristan Thompson","Kevin Love","LeBron James","Dwyane Wade","Chris Bosh","Hassan Whiteside","Goran Dragic","Luol Deng"
"100",-3,"Richard Jefferson","Tristan Thompson","Kevin Love","LeBron James","Mo Williams","Dwyane Wade","Chris Bosh","Hassan Whiteside","Goran Dragic","Luol Deng"
"101",0,"Richard Jefferson","Tristan Thompson","Kevin Love","LeBron James","Mo Williams","Dwyane Wade","Chris Bosh","Hassan Whiteside","Goran Dragic","James Ennis"
"102",0,"Richard Jefferson","Tristan Thompson","Kevin Love","LeBron James","Mo Williams","Dwyane Wade","Hassan Whiteside","Goran Dragic","James Ennis","Tyler Johnson"
"103",0,"Richard Jefferson","Tristan Thompson","Kevin Love","LeBron James","Mo Williams","Hassan Whiteside","Goran Dragic","James Ennis","Tyler Johnson","Justise Winslow"
"104",0,"Richard Jefferson","Tristan Thompson","Kevin Love","Mo Williams","James Jones","Hassan Whiteside","Goran Dragic","James Ennis","Tyler Johnson","Justise Winslow"
"105",0,"Richard Jefferson","Tristan Thompson","Mo Williams","James Jones","Jared Cunningham","Hassan Whiteside","Goran Dragic","James Ennis","Tyler Johnson","Justise Winslow"
"106",0,"Richard Jefferson","Tristan Thompson","James Jones","Jared Cunningham","Joe Harris","Hassan Whiteside","Goran Dragic","James Ennis","Tyler Johnson","Justise Winslow"
"107",-5,"Richard Jefferson","James Jones","Jared Cunningham","Joe Harris","Sasha Kaun","Hassan Whiteside","Goran Dragic","James Ennis","Tyler Johnson","Justise Winslow"
"108",4,"Evan Fournier","Tobias Harris","Nikola Vucevic","Victor Oladipo","Elfrid Payton","Kevin Durant","Serge Ibaka","Steven Adams","Andre Roberson","Russell Westbrook"
"109",0,"Evan Fournier","Tobias Harris","Nikola Vucevic","Victor Oladipo","Elfrid Payton","Kevin Durant","Serge Ibaka","Steven Adams","Russell Westbrook","Anthony Morrow"
"110",-1,"Evan Fournier","Tobias Harris","Nikola Vucevic","Victor Oladipo","CJ Watson","Kevin Durant","Serge Ibaka","Steven Adams","Russell Westbrook","Anthony Morrow"
"111",2,"Tobias Harris","Nikola Vucevic","Victor Oladipo","CJ Watson","Mario Hezonja","Kevin Durant","Serge Ibaka","Steven Adams","Russell Westbrook","Anthony Morrow"
"112",1,"Tobias Harris","Nikola Vucevic","Victor Oladipo","CJ Watson","Mario Hezonja","Kevin Durant","Serge Ibaka","Steven Adams","Russell Westbrook","Andre Roberson"
"113",0,"Tobias Harris","Nikola Vucevic","Victor Oladipo","CJ Watson","Mario Hezonja","Serge Ibaka","Steven Adams","Russell Westbrook","Andre Roberson","D.J. Augustin"
"114",0,"Tobias Harris","Nikola Vucevic","Victor Oladipo","CJ Watson","Mario Hezonja","Serge Ibaka","Steven Adams","Andre Roberson","D.J. Augustin","Dion Waiters"
"115",1,"Nikola Vucevic","Victor Oladipo","CJ Watson","Mario Hezonja","Aaron Gordon","Serge Ibaka","Steven Adams","Andre Roberson","D.J. Augustin","Dion Waiters"
"116",0,"Nikola Vucevic","CJ Watson","Mario Hezonja","Aaron Gordon","Evan Fournier","Serge Ibaka","Steven Adams","Andre Roberson","D.J. Augustin","Dion Waiters"
"117",0,"CJ Watson","Mario Hezonja","Aaron Gordon","Evan Fournier","Dewayne Dedmon","Serge Ibaka","Steven Adams","Andre Roberson","D.J. Augustin","Dion Waiters"
"118",-3,"CJ Watson","Mario Hezonja","Aaron Gordon","Evan Fournier","Dewayne Dedmon","Serge Ibaka","Andre Roberson","D.J. Augustin","Dion Waiters","Enes Kanter"
"119",3,"Evan Fournier","CJ Watson","Mario Hezonja","Aaron Gordon","Dewayne Dedmon","Kevin Durant","Andre Roberson","D.J. Augustin","Dion Waiters","Enes Kanter"
"120",1,"Evan Fournier","Mario Hezonja","Aaron Gordon","Dewayne Dedmon","Elfrid Payton","Kevin Durant","Andre Roberson","D.J. Augustin","Dion Waiters","Enes Kanter"
"121",0,"Evan Fournier","Aaron Gordon","Dewayne Dedmon","Elfrid Payton","Tobias Harris","Kevin Durant","Andre Roberson","D.J. Augustin","Dion Waiters","Enes Kanter"
"122",0,"Evan Fournier","Dewayne Dedmon","Elfrid Payton","Tobias Harris","Victor Oladipo","Kevin Durant","Andre Roberson","D.J. Augustin","Dion Waiters","Enes Kanter"
"123",0,"Evan Fournier","Elfrid Payton","Tobias Harris","Victor Oladipo","Nikola Vucevic","Kevin Durant","Andre Roberson","D.J. Augustin","Dion Waiters","Enes Kanter"
"124",0,"Evan Fournier","Elfrid Payton","Tobias Harris","Victor Oladipo","Nikola Vucevic","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Serge Ibaka"
"125",0,"Evan Fournier","Elfrid Payton","Tobias Harris","Victor Oladipo","Nikola Vucevic","Kevin Durant","Dion Waiters","Enes Kanter","Serge Ibaka","Anthony Morrow"
"126",0,"Evan Fournier","Elfrid Payton","Tobias Harris","Victor Oladipo","Nikola Vucevic","Kevin Durant","Enes Kanter","Serge Ibaka","Anthony Morrow","Russell Westbrook"
"127",3,"Evan Fournier","Elfrid Payton","Tobias Harris","Victor Oladipo","Nikola Vucevic","Kevin Durant","Serge Ibaka","Anthony Morrow","Russell Westbrook","Kyle Singler"
"128",-1,"Evan Fournier","Tobias Harris","Victor Oladipo","Nikola Vucevic","CJ Watson","Kevin Durant","Serge Ibaka","Anthony Morrow","Russell Westbrook","Kyle Singler"
"129",5,"Evan Fournier","Tobias Harris","Victor Oladipo","Nikola Vucevic","CJ Watson","Kevin Durant","Serge Ibaka","Russell Westbrook","Kyle Singler","Steven Adams"
"130",1,"Tobias Harris","Victor Oladipo","Nikola Vucevic","CJ Watson","Mario Hezonja","Kevin Durant","Serge Ibaka","Russell Westbrook","Kyle Singler","Steven Adams"
"131",-2,"Tobias Harris","Victor Oladipo","Nikola Vucevic","CJ Watson","Mario Hezonja","Serge Ibaka","Russell Westbrook","Kyle Singler","Steven Adams","Dion Waiters"
"132",0,"Tobias Harris","Victor Oladipo","Nikola Vucevic","CJ Watson","Shabazz Napier","Serge Ibaka","Russell Westbrook","Kyle Singler","Steven Adams","Dion Waiters"
"133",0,"Tobias Harris","Victor Oladipo","Nikola Vucevic","CJ Watson","Shabazz Napier","Serge Ibaka","Russell Westbrook","Kyle Singler","Dion Waiters","Kevin Durant"
"134",0,"Evan Fournier","Tobias Harris","Nikola Vucevic","Victor Oladipo","Elfrid Payton","Kevin Durant","Serge Ibaka","Steven Adams","Andre Roberson","Russell Westbrook"
"135",2,"Evan Fournier","Tobias Harris","Nikola Vucevic","Victor Oladipo","Elfrid Payton","Kevin Durant","Serge Ibaka","Steven Adams","Russell Westbrook","Anthony Morrow"
"136",0,"Evan Fournier","Tobias Harris","Victor Oladipo","Elfrid Payton","CJ Watson","Kevin Durant","Serge Ibaka","Steven Adams","Russell Westbrook","Anthony Morrow"
"137",-2,"Evan Fournier","Tobias Harris","Victor Oladipo","CJ Watson","Dewayne Dedmon","Kevin Durant","Serge Ibaka","Steven Adams","Russell Westbrook","Anthony Morrow"
"138",0,"Evan Fournier","Tobias Harris","Victor Oladipo","CJ Watson","Dewayne Dedmon","Serge Ibaka","Steven Adams","Russell Westbrook","Anthony Morrow","Kyle Singler"
"139",0,"Evan Fournier","Tobias Harris","Victor Oladipo","CJ Watson","Dewayne Dedmon","Serge Ibaka","Russell Westbrook","Anthony Morrow","Kyle Singler","Enes Kanter"
"140",0,"Evan Fournier","Tobias Harris","CJ Watson","Dewayne Dedmon","Mario Hezonja","Serge Ibaka","Russell Westbrook","Anthony Morrow","Kyle Singler","Enes Kanter"
"141",1,"Evan Fournier","CJ Watson","Dewayne Dedmon","Mario Hezonja","Aaron Gordon","Serge Ibaka","Russell Westbrook","Anthony Morrow","Kyle Singler","Enes Kanter"
"142",3,"Evan Fournier","CJ Watson","Dewayne Dedmon","Mario Hezonja","Aaron Gordon","Serge Ibaka","Anthony Morrow","Kyle Singler","Enes Kanter","D.J. Augustin"
"143",-5,"Victor Oladipo","CJ Watson","Mario Hezonja","Aaron Gordon","Dewayne Dedmon","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Kyle Singler"
"144",0,"Victor Oladipo","CJ Watson","Mario Hezonja","Aaron Gordon","Dewayne Dedmon","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Russell Westbrook"
"145",-2,"Victor Oladipo","CJ Watson","Aaron Gordon","Dewayne Dedmon","Evan Fournier","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Russell Westbrook"
"146",0,"Victor Oladipo","CJ Watson","Dewayne Dedmon","Evan Fournier","Tobias Harris","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Russell Westbrook"
"147",0,"Victor Oladipo","Dewayne Dedmon","Evan Fournier","Tobias Harris","Elfrid Payton","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Russell Westbrook"
"148",-3,"Victor Oladipo","Evan Fournier","Tobias Harris","Elfrid Payton","Nikola Vucevic","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Russell Westbrook"
"149",0,"Victor Oladipo","Tobias Harris","Elfrid Payton","Nikola Vucevic","Aaron Gordon","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Russell Westbrook"
"150",0,"Tobias Harris","Elfrid Payton","Nikola Vucevic","Aaron Gordon","Evan Fournier","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Russell Westbrook"
"151",-7,"Tobias Harris","Elfrid Payton","Nikola Vucevic","Evan Fournier","Victor Oladipo","Kevin Durant","D.J. Augustin","Dion Waiters","Enes Kanter","Russell Westbrook"
"152",1,"Tobias Harris","Elfrid Payton","Nikola Vucevic","Evan Fournier","Victor Oladipo","Kevin Durant","D.J. Augustin","Dion Waiters","Russell Westbrook","Steven Adams"
"153",1,"Tobias Harris","Elfrid Payton","Nikola Vucevic","Evan Fournier","Victor Oladipo","Kevin Durant","D.J. Augustin","Russell Westbrook","Steven Adams","Andre Roberson"
"154",0,"Tobias Harris","Elfrid Payton","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Kevin Durant","D.J. Augustin","Russell Westbrook","Steven Adams","Andre Roberson"
"155",-2,"Tobias Harris","Elfrid Payton","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Kevin Durant","D.J. Augustin","Russell Westbrook","Steven Adams","Dion Waiters"
"156",0,"Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Evan Fournier","Kevin Durant","D.J. Augustin","Russell Westbrook","Steven Adams","Dion Waiters"
"157",2,"Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Evan Fournier","Kevin Durant","Russell Westbrook","Steven Adams","Dion Waiters","Andre Roberson"
"158",0,"Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Evan Fournier","Kevin Durant","Russell Westbrook","Steven Adams","Dion Waiters","D.J. Augustin"
"159",-3,"Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Elfrid Payton","Kevin Durant","Russell Westbrook","Steven Adams","Dion Waiters","D.J. Augustin"
"160",0,"Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Evan Fournier","Kevin Durant","Russell Westbrook","Steven Adams","Dion Waiters","D.J. Augustin"
"161",0,"Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Evan Fournier","Kevin Durant","Russell Westbrook","Steven Adams","Dion Waiters","Andre Roberson"
"162",0,"Tobias Harris","Nikola Vucevic","Victor Oladipo","Aaron Gordon","Evan Fournier","Kevin Durant","Russell Westbrook","Steven Adams","Andre Roberson","Serge Ibaka"
"163",-1,"Evan Fournier","Tobias Harris","Nikola Vucevic","Victor Oladipo","Elfrid Payton","Kevin Durant","Steven Adams","Russell Westbrook","D.J. Augustin","Dion Waiters"
