"","home_pm","h1","h2","h3","h4","h5","a1","a2","a3","a4","a5"
"228",-1,"TJ McConnell","Jerami Grant","Isaiah Canaan","Nerlens Noel","Hollis Thompson","Derrick Favors","Gordon Hayward","Trey Burke","Joe Ingles","Alec Burks"
"229",2,"TJ McConnell","Jerami Grant","Isaiah Canaan","Nerlens Noel","Hollis Thompson","Gordon Hayward","Trey Burke","Joe Ingles","Alec Burks","Rudy Gobert"
"230",-6,"JaKarr Sampson","Jahlil Okafor","Hollis Thompson","Nik Stauskas","Christian Wood","Gordon Hayward","Rudy Gobert","Elijah Millsap","Alec Burks","Trey Burke"
"231",0,"JaKarr Sampson","Jahlil Okafor","Hollis Thompson","Nik Stauskas","Isaiah Canaan","Gordon Hayward","Rudy Gobert","Elijah Millsap","Alec Burks","Trey Burke"
"232",2,"JaKarr Sampson","Jahlil Okafor","Hollis Thompson","Nik Stauskas","Isaiah Canaan","Gordon Hayward","Rudy Gobert","Alec Burks","Trey Burke","Rodney Hood"
"233",0,"JaKarr Sampson","Jahlil Okafor","Hollis Thompson","Nik Stauskas","Isaiah Canaan","Gordon Hayward","Rudy Gobert","Trey Burke","Rodney Hood","Derrick Favors"
"234",0,"Jahlil Okafor","Hollis Thompson","Nik Stauskas","Isaiah Canaan","Nerlens Noel","Gordon Hayward","Rudy Gobert","Trey Burke","Rodney Hood","Derrick Favors"
"235",-3,"Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Nerlens Noel","TJ McConnell","Gordon Hayward","Rudy Gobert","Trey Burke","Rodney Hood","Derrick Favors"
"236",0,"Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Nerlens Noel","TJ McConnell","Gordon Hayward","Trey Burke","Rodney Hood","Derrick Favors","Trevor Booker"
"237",2,"Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Nerlens Noel","TJ McConnell","Trey Burke","Rodney Hood","Derrick Favors","Trevor Booker","Alec Burks"
"238",0,"Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Nerlens Noel","TJ McConnell","Trey Burke","Rodney Hood","Trevor Booker","Alec Burks","Trey Lyles"
"239",0,"Jahlil Okafor","Hollis Thompson","Isaiah Canaan","Nerlens Noel","TJ McConnell","Trey Burke","Trevor Booker","Alec Burks","Trey Lyles","Joe Ingles"
"240",-3,"Jahlil Okafor","Isaiah Canaan","Nerlens Noel","TJ McConnell","Jerami Grant","Trey Burke","Trevor Booker","Alec Burks","Trey Lyles","Joe Ingles"
"241",0,"Jahlil Okafor","Isaiah Canaan","Nerlens Noel","TJ McConnell","Jerami Grant","Trey Burke","Trevor Booker","Trey Lyles","Joe Ingles","Raul Neto"
"242",0,"Jahlil Okafor","Isaiah Canaan","Nerlens Noel","TJ McConnell","Jerami Grant","Trevor Booker","Trey Lyles","Joe Ingles","Raul Neto","Chris Johnson"
"243",0,"Jahlil Okafor","Isaiah Canaan","TJ McConnell","Jerami Grant","JaKarr Sampson","Trevor Booker","Trey Lyles","Joe Ingles","Raul Neto","Chris Johnson"
"244",0,"Isaiah Canaan","TJ McConnell","Jerami Grant","JaKarr Sampson","Richaun Holmes","Trevor Booker","Trey Lyles","Joe Ingles","Raul Neto","Chris Johnson"
"245",-2,"TJ McConnell","Jerami Grant","JaKarr Sampson","Richaun Holmes","Christian Wood","Trevor Booker","Trey Lyles","Joe Ingles","Raul Neto","Chris Johnson"
"246",4,"TJ McConnell","Jerami Grant","JaKarr Sampson","Richaun Holmes","Christian Wood","Trey Lyles","Joe Ingles","Raul Neto","Chris Johnson","Tibor Pleiss"
